ID,VID,PLID,Type,LinkID
435,637,45,3,29248
436,638,45,1,9414
437,639,45,2,9414
438,640,45,3,9414
439,641,45,1,8232
440,642,45,2,8232
441,643,45,3,8232
442,644,45,1,8232
443,645,45,2,8232
444,646,45,3,8232
445,647,46,1,5668
446,648,46,2,5668
447,649,46,3,5668
448,650,46,1,5504
449,651,46,2,5504
450,652,46,3,5504
451,653,47,1,26825
452,654,47,2,26825
453,655,47,3,26825
454,656,47,1,26825
455,657,47,2,26825
456,658,47,3,26825
457,659,48,1,27441
458,660,48,2,27441
459,661,48,3,27441
460,662,48,1,27441
461,663,48,2,27441
462,664,48,3,27441
463,665,49,1,5168
464,666,49,2,5168
465,667,49,3,5168
466,668,49,1,5168
467,669,49,2,5168
468,670,49,3,5168
469,671,50,1,32601
470,672,50,2,32601
471,673,50,3,32601
472,674,50,1,15206
473,675,50,2,15206
474,676,50,3,15206
475,677,51,1,2665
476,678,51,2,2665
477,679,51,3,2665
478,680,51,1,82738
479,681,51,2,82738
480,682,51,3,82738
481,683,51,1,23016
482,684,51,2,23016
483,685,51,3,23016
484,686,51,1,23016
485,687,51,2,23016
486,688,51,3,23016
487,689,52,1,23757
488,690,52,2,23757
489,691,52,3,23757
490,692,52,1,15034
491,693,52,2,15034
492,694,52,3,15034
493,695,53,1,101664
494,696,53,2,101664
495,697,53,3,101664
496,698,53,1,104031
497,699,53,2,104031
498,700,53,3,104031
499,701,54,1,14862
500,702,54,2,14862
501,703,54,3,14862
502,704,54,1,31858
503,705,54,2,31858
504,706,54,3,31858
505,707,54,1,14608
506,708,54,2,14608
507,709,54,3,14608
508,710,54,1,14608
509,711,54,2,14608
510,712,54,3,14608
511,713,55,1,88944
512,714,55,2,88944
513,715,55,3,88944
514,716,55,1,88944
515,717,55,2,88944
516,718,55,3,88944
517,719,55,1,92349
518,720,55,2,92349
519,721,55,3,92349
520,722,55,1,92349
521,723,55,2,92349
522,724,55,3,92349
523,725,56,1,33453
524,726,56,2,33453
525,727,56,3,33453
526,728,56,1,103110
527,729,56,2,103110
528,730,56,3,103110
529,731,56,1,18216
530,732,56,2,18216
531,733,56,3,18216
532,734,56,1,18216
533,735,56,2,18216
534,736,56,3,18216
535,737,57,1,20476
536,738,57,2,20476
537,739,57,3,20476
538,740,57,1,20584
539,741,57,2,20584
540,742,57,3,20584
541,743,58,1,92825
542,744,58,2,92825
543,745,58,3,92825
544,746,58,1,92825
545,747,58,2,92825
546,748,58,3,92825
547,749,59,1,18383
548,750,59,2,18383
549,751,59,3,18383
550,752,59,1,18025
551,753,59,2,18025
552,754,59,3,18025
553,755,59,1,33696
554,756,59,2,33696
555,757,59,3,33696
556,758,59,1,33696
557,759,59,2,33696
558,760,59,3,33696
559,761,60,1,161
560,762,60,2,161
561,763,60,3,161
562,764,60,1,344
563,765,60,2,344
564,766,60,3,344
565,767,60,1,718
566,768,60,2,718
567,769,60,3,718
568,770,60,1,718
569,771,60,2,718
570,772,60,3,718
571,773,61,1,2120
572,774,61,2,2120
573,775,61,3,2120
574,776,61,1,2216
575,777,61,2,2216
576,778,61,3,2216
577,779,61,1,2396
578,780,61,2,2396
579,781,61,3,2396
580,782,61,1,2396
581,783,61,2,2396
582,784,61,3,2396
583,785,62,1,107287
584,786,62,2,107287
585,787,62,3,107287
586,788,62,1,107430
587,789,62,2,107430
588,790,62,3,107430
589,791,62,1,59816
590,792,62,2,59816
591,793,62,3,59816
592,794,62,1,59816
593,795,62,2,59816
594,796,62,3,59816
595,797,63,1,10971
596,798,63,2,10971
597,799,63,3,10971
598,800,63,1,10841
599,801,63,2,10841
600,802,63,3,10841
601,803,63,1,10554
602,804,63,2,10554
603,805,63,3,10554
604,806,63,1,10554
605,807,63,2,10554
606,808,63,3,10554
607,809,64,1,21132
608,810,64,2,21132
609,811,64,3,21132
610,812,64,1,108888
611,813,64,2,108888
612,814,64,3,108888
613,815,64,1,108888
614,816,64,2,108888
615,817,64,3,108888
616,818,64,1,108888
617,819,64,2,108888
618,820,64,3,108888
619,821,65,1,19832
620,822,65,2,19832
621,823,65,3,19832
622,824,65,1,19539
623,825,65,2,19539
624,826,65,3,19539
625,827,65,1,19476
626,828,65,2,19476
627,829,65,3,19476
628,830,65,1,19476
629,831,65,2,19476
630,832,65,3,19476
631,833,66,1,61160
632,834,66,2,61160
633,835,66,3,61160
634,836,66,1,61027
635,837,66,2,61027
636,838,66,3,61027
637,839,67,1,39034
638,840,67,2,39034
639,841,67,3,39034
640,842,67,1,39034
641,843,67,2,39034
642,844,67,3,39034
643,845,67,1,38849
644,846,67,2,38849
645,847,67,3,38849
646,848,67,1,38849
647,849,67,2,38849
648,850,67,3,38849
649,851,68,1,39172
650,852,68,2,39172
651,853,68,3,39172
652,854,68,1,39172
653,855,68,2,39172
654,856,68,3,39172
655,857,68,1,39315
656,858,68,2,39315
657,859,68,3,39315
658,860,68,1,51164
659,861,68,2,51164
660,862,68,3,51164
661,863,69,1,56944
662,864,69,2,56944
663,865,69,3,56944
664,866,69,1,56944
665,867,69,2,56944
666,868,69,3,56944
667,869,69,1,9717
668,870,69,2,9717
669,871,69,3,9717
670,872,69,1,48035
671,873,69,2,48035
672,874,69,3,48035
673,875,70,1,45999
674,876,70,2,45999
675,877,70,3,45999
676,878,70,1,45999
677,879,70,2,45999
678,880,70,3,45999
679,881,70,1,44915
680,882,70,2,44915
681,883,70,3,44915
682,884,70,1,45291
683,885,70,2,45291
684,886,70,3,45291
685,887,71,1,47767
686,888,71,2,47767
687,889,71,3,47767
688,890,71,1,46778
689,891,71,2,46778
690,892,71,3,46778
691,893,71,1,47767
692,894,71,2,47767
693,895,71,3,47767
694,896,71,1,47767
695,897,71,2,47767
696,898,71,3,47767
697,899,72,1,46374
698,900,72,2,46374
699,901,72,3,46374
700,902,72,1,46374
701,903,72,2,46374
702,904,72,3,46374
703,905,72,1,49183
704,906,72,2,49183
705,907,72,3,49183
706,908,72,1,51993
707,909,72,2,51993
708,910,72,3,51993
709,911,73,1,44533
710,912,73,2,44533
711,913,73,3,44533
712,914,73,1,44533
713,915,73,2,44533
714,916,73,3,44533
