-15026.145000,-84801.276000,41.095000,40.000000
-15026.844000,-84801.991000,41.063000,40.000000
-15027.540000,-84802.709000,41.032000,40.000000
-15028.234000,-84803.429000,41.001000,40.000000
-15028.926000,-84804.151000,40.971000,40.000000
-15029.615000,-84804.876000,40.942000,40.000000
-15030.301000,-84805.603000,40.912000,40.000000
-15030.490000,-84805.804000,40.903000,40.000000
-15030.985000,-84806.333000,40.881000,40.000000
-15031.666000,-84807.065000,40.842000,40.000000
-15032.345000,-84807.799000,40.804000,40.000000
-15033.022000,-84808.536000,40.765000,40.000000
-15033.696000,-84809.274000,40.726000,40.000000
-15034.368000,-84810.014000,40.689000,40.000000
-15035.039000,-84810.756000,40.652000,40.000000
-15035.707000,-84811.500000,40.614000,40.000000
-15036.374000,-84812.246000,40.576000,40.000000
-15037.038000,-84812.993000,40.534000,40.000000
-15037.702000,-84813.741000,40.492000,40.000000
-15038.363000,-84814.491000,40.450000,40.000000
-15039.024000,-84815.242000,40.409000,40.000000
-15039.683000,-84815.994000,40.367000,40.000000
-15040.341000,-84816.747000,40.324000,40.000000
-15040.997000,-84817.501000,40.281000,40.000000
-15041.653000,-84818.256000,40.236000,40.000000
-15042.308000,-84819.012000,40.190000,40.000000
-15042.962000,-84819.768000,40.144000,40.000000
-15043.615000,-84820.525000,40.098000,40.000000
-15044.268000,-84821.283000,40.052000,40.000000
-15044.921000,-84822.041000,40.003000,40.000000
-15045.573000,-84822.799000,39.953000,40.000000
-15046.224000,-84823.557000,39.903000,40.000000
-15046.876000,-84824.316000,39.853000,40.000000
-15047.179000,-84824.669000,39.831000,40.000000
-15047.527000,-84825.075000,39.805000,40.000000
-15048.179000,-84825.833000,39.758000,40.000000
-15048.830000,-84826.592000,39.710000,40.000000
-15049.482000,-84827.350000,39.663000,40.000000
-15050.133000,-84828.109000,39.614000,40.000000
-15050.785000,-84828.868000,39.565000,40.000000
-15051.437000,-84829.626000,39.516000,40.000000
-15052.088000,-84830.385000,39.466000,40.000000
-15052.740000,-84831.144000,39.416000,40.000000
-15053.391000,-84831.902000,39.366000,40.000000
-15054.043000,-84832.661000,39.316000,40.000000
-15054.694000,-84833.420000,39.268000,40.000000
-15055.346000,-84834.178000,39.222000,40.000000
-15055.997000,-84834.937000,39.176000,40.000000
-15056.649000,-84835.695000,39.130000,40.000000
-15057.300000,-84836.454000,39.084000,40.000000
-15057.952000,-84837.213000,39.038000,40.000000
-15058.603000,-84837.971000,38.993000,40.000000
-15059.255000,-84838.730000,38.947000,40.000000
-15059.906000,-84839.489000,38.900000,40.000000
-15060.558000,-84840.247000,38.853000,40.000000
-15061.209000,-84841.006000,38.806000,40.000000
-15061.861000,-84841.765000,38.759000,40.000000
-15062.512000,-84842.523000,38.712000,40.000000
-15063.164000,-84843.282000,38.666000,40.000000
-15063.815000,-84844.041000,38.620000,40.000000
-15064.467000,-84844.799000,38.575000,40.000000
-15065.118000,-84845.558000,38.529000,40.000000
-15065.770000,-84846.316000,38.482000,40.000000
-15066.421000,-84847.075000,38.435000,40.000000
-15067.073000,-84847.834000,38.388000,40.000000
-15067.724000,-84848.592000,38.341000,40.000000
-15068.114000,-84849.046000,38.314000,40.000000
-15068.376000,-84849.351000,38.295000,40.000000
-15069.024000,-84850.112000,38.249000,40.000000
-15069.670000,-84850.876000,38.203000,40.000000
-15070.312000,-84851.643000,38.157000,40.000000
-15070.951000,-84852.412000,38.111000,40.000000
-15071.587000,-84853.183000,38.065000,40.000000
-15072.220000,-84853.958000,38.019000,40.000000
-15072.849000,-84854.735000,37.974000,40.000000
-15073.475000,-84855.515000,37.932000,40.000000
-15074.098000,-84856.297000,37.891000,40.000000
-15074.718000,-84857.082000,37.851000,40.000000
-15075.334000,-84857.869000,37.813000,40.000000
-15075.567000,-84858.168000,37.798000,40.000000
-15075.948000,-84858.659000,37.775000,40.000000
-15076.561000,-84859.448000,37.737000,40.000000
-15077.175000,-84860.238000,37.699000,40.000000
-15077.788000,-84861.028000,37.660000,40.000000
-15078.402000,-84861.817000,37.623000,40.000000
-15079.015000,-84862.607000,37.586000,40.000000
-15079.629000,-84863.397000,37.550000,40.000000
-15080.242000,-84864.187000,37.516000,40.000000
-15080.856000,-84864.976000,37.482000,40.000000
-15081.469000,-84865.766000,37.448000,40.000000
-15082.083000,-84866.556000,37.414000,40.000000
-15082.696000,-84867.345000,37.384000,40.000000
-15083.310000,-84868.135000,37.356000,40.000000
-15083.923000,-84868.925000,37.329000,40.000000
-15084.537000,-84869.714000,37.303000,40.000000
-15085.150000,-84870.504000,37.273000,40.000000
-15085.764000,-84871.294000,37.242000,40.000000
-15086.377000,-84872.083000,37.212000,40.000000
-15086.921000,-84872.783000,37.185000,40.000000
-15086.991000,-84872.873000,37.181000,40.000000
-15087.606000,-84873.661000,37.153000,40.000000
-15088.225000,-84874.447000,37.125000,40.000000
-15088.846000,-84875.231000,37.098000,40.000000
-15089.470000,-84876.013000,37.071000,40.000000
-15090.097000,-84876.792000,37.045000,40.000000
