x,y,z,yaw,velocity,change_flag
41.5959,-13.9070,-0.0001,-2.7739,24.3060,0
39.6573,-14.5612,-0.0002,-2.8825,23.6501,0
38.3160,-14.9058,-0.0001,-2.9097,28.8862,0
37.0360,-15.2024,-0.0002,-2.9229,31.1366,0
34.9916,-15.6447,-0.0001,-2.9439,34.7350,0
33.5316,-15.9248,-0.0001,-2.9857,33.6496,0
32.2015,-16.0685,-0.0001,-3.0516,32.4749,0
30.8324,-16.1865,-0.0001,-3.0487,36.9315,0
28.8975,-16.4315,-0.0003,-2.8235,12.6909,0
27.5024,-16.8627,-0.0001,-2.6543,29.3810,0
26.3152,-17.5611,-0.0001,-2.3548,32.3890,0
24.8533,-18.9634,-0.0001,-2.2620,31.9941,0
24.0166,-20.0672,-0.0003,-1.9577,33.8038,0
23.4712,-21.3074,-0.0002,-1.9332,32.7909,0
22.7514,-23.1427,-0.0001,-1.9329,33.1837,0
22.1318,-24.4842,-0.0001,-2.0991,32.0105,0
21.3675,-25.7004,-0.0002,-2.2906,34.5979,0
19.7276,-27.2483,-0.0001,-2.6993,31.7080,0
18.4605,-27.8730,-0.0001,-2.8589,19.5356,0
17.0302,-28.2600,-0.0001,-3.0748,19.9137,0
14.9283,-28.4111,-0.0003,-3.1163,32.5039,0
13.4869,-28.5364,-0.0001,-2.8329,7.1354,0
12.1029,-28.9768,-0.0001,-2.5108,30.1452,0
10.5149,-30.2059,-0.0001,-2.1658,25.6258,0
9.7525,-31.2452,-0.0001,-2.1405,19.0036,0
8.9622,-32.5166,-0.0001,-1.9722,21.0413,0
8.3834,-33.8987,-0.0002,-1.7903,18.0170,0
7.9270,-35.8096,-0.0001,-1.7892,33.1912,0
7.6821,-37.1695,-0.0001,-1.5274,20.9870,0
7.6877,-38.5036,-0.0002,-1.2177,33.6620,0
8.5188,-40.3206,-0.0001,-0.9141,11.2186,0
9.3276,-41.4133,-0.0001,-0.9140,34.9304,0
10.1179,-42.4323,-0.0001,-0.9134,32.1458,0
11.3442,-43.9857,-0.0001,-0.8809,33.8538,0
12.4721,-45.1374,-0.0001,-0.6137,34.9598,0
13.7206,-45.9611,-0.0001,-0.4154,41.7475,0
15.4310,-46.7682,-0.0001,-0.4059,22.6378,0
16.6128,-47.2824,-0.0002,-0.3996,17.0757,0
17.9559,-47.8407,-0.0001,-0.3990,32.2640,0
19.2118,-48.3640,-0.0001,-0.3906,11.1892,0
21.0336,-49.2983,-0.0001,-0.7253,20.1073,0
22.2765,-50.4647,-0.0002,-1.1503,8.1328,0
23.1206,-52.3148,-0.0002,-1.3958,16.2490,0
23.3673,-53.5808,-0.0001,-1.3959,35.9872,0
23.6326,-54.9389,-0.0001,-1.3026,29.5136,0
24.4396,-56.9216,-0.0003,-0.7434,31.7273,0
25.2948,-57.8504,-0.0001,-0.5963,10.0005,0
26.4506,-58.6777,-0.0001,-0.5960,34.0786,0
27.5859,-59.4425,-0.0001,-0.5953,34.1992,0
29.3038,-60.4007,-0.0001,-0.3643,24.9842,0
30.7174,-60.8558,-0.0003,0.0547,14.8275,0
32.4853,-60.8356,-0.0001,0.1837,29.7811,0
33.8118,-60.6034,-0.0001,0.1852,11.8655,0
35.7151,-60.4191,-0.0001,-0.0593,7.8521,0
37.0972,-60.4633,-0.0001,-0.0565,29.2008,0
39.0006,-60.5481,-0.0001,-0.0549,27.4438,0
40.3697,-60.6126,-0.0001,-0.0539,39.8607,0
41.8612,-60.6882,-0.0001,-0.0739,17.3690,0
42.9520,-60.7637,-0.0001,-0.1157,18.5496,0
44.6588,-60.8540,-0.0001,-0.1260,31.5416,0
46.1559,-60.9959,-0.0001,-0.2055,6.2205,0
47.3135,-61.1544,-0.0001,-0.2383,31.0222,0
48.6121,-61.4510,-0.0001,-0.2350,23.8319,0
50.4654,-61.8767,-0.0001,-0.2336,21.3459,0
51.8029,-62.1826,-0.0001,-0.2326,9.7023,0
53.8083,-62.6396,-0.0001,-0.2311,30.7415,0
55.0420,-62.8994,-0.0001,-0.0987,22.8417,0
56.5799,-62.9842,-0.0003,0.2695,16.3527,0
58.4332,-62.5456,-0.0001,0.2965,18.2736,0
59.8301,-62.1623,-0.0001,0.2399,26.2040,0
61.0378,-61.9025,-0.0001,0.2015,11.0426,0
62.8892,-61.5229,-0.0001,0.2042,11.7048,0
64.2528,-61.2502,-0.0001,0.1492,35.7616,0
66.2730,-61.0622,-0.0002,0.0709,10.9793,0
67.5679,-60.9775,-0.0001,0.0774,32.8624,0
68.9333,-60.8780,-0.0002,0.0831,29.6647,0
70.7550,-60.7305,-0.0001,0.0931,31.8984,0
72.1185,-60.6052,-0.0002,0.0993,33.9419,0
74.0219,-60.4246,-0.0002,0.1133,11.6730,0
75.4596,-60.1574,-0.0001,0.5123,36.4854,0
77.1682,-59.2416,-0.0001,0.6641,10.0904,0
78.2516,-58.4124,-0.0001,0.6645,33.4294,0
79.2682,-57.6163,-0.0001,0.6653,35.7941,0
80.7895,-56.2712,-0.0002,0.8769,29.0182,0
81.5909,-55.2687,-0.0003,1.0298,17.2291,0
82.6316,-53.5384,-0.0001,1.1642,34.0374,0
83.1140,-52.3996,-0.0001,1.3182,5.6633,0
83.5165,-50.9531,-0.0001,1.3188,35.7624,0
83.9692,-49.2025,-0.0002,1.3272,9.8679,0
84.3105,-47.8831,-0.0001,1.3340,40.1719,0
84.6222,-46.6374,-0.0002,1.3399,28.8528,0
85.0934,-44.6454,-0.0001,1.3483,33.9394,0
85.3809,-43.3924,-0.0001,1.3557,35.3521,0
85.6796,-42.0656,-0.0001,1.3635,29.5449,0
86.0581,-40.2892,-0.0001,1.3729,23.4292,0
86.3437,-38.8814,-0.0002,1.3789,33.1232,0
86.7315,-36.9521,-0.0001,1.3886,32.0692,0
86.9652,-35.6880,-0.0001,1.3887,24.1839,0
