ID,LID,Width,Color,type,LinkID
441,441,0.15,W,0,4623
442,442,0.15,W,0,4625
443,443,0.15,W,0,4625
444,444,0.15,W,0,4627
445,445,0.15,W,0,4630
446,446,0.15,W,0,4632
447,447,0.15,W,0,4633
448,448,0.15,W,0,4635
449,449,0.15,W,0,4637
450,450,0.15,W,0,4637
451,451,0.15,W,0,4639
452,452,0.15,W,0,4642
453,453,0.15,W,0,4644
454,454,0.15,W,0,4645
455,455,0.15,W,0,4648
456,456,0.15,W,0,4650
457,457,0.15,W,0,4652
458,458,0.15,W,0,4654
459,459,0.15,W,0,4655
460,460,0.15,W,0,4657
461,461,0.15,W,0,4660
462,462,0.15,W,0,4662
463,463,0.15,W,0,4662
464,464,0.15,W,0,4664
465,465,0.15,W,0,4667
466,466,0.15,W,0,4669
467,467,0.15,W,0,4670
468,468,0.15,W,0,4671
469,469,0.15,W,0,4673
470,470,0.15,W,0,4675
471,471,0.15,W,0,4678
472,472,0.15,W,0,4681
473,473,0.15,W,0,4683
474,474,0.15,W,0,4685
475,475,0.15,W,0,4687
476,476,0.15,W,0,4688
477,477,0.15,W,0,4689
478,478,0.15,W,0,4692
479,479,0.15,W,0,4694
480,480,0.15,W,0,4694
481,481,0.15,W,0,4696
482,482,0.15,W,0,4698
483,483,0.15,W,0,4700
484,484,0.15,W,0,4702
485,485,0.15,W,0,4702
486,486,0.15,W,0,4704
487,487,0.15,W,0,4708
488,488,0.15,W,0,4710
489,489,0.15,W,0,4711
490,490,0.15,W,0,4712
491,491,0.15,W,0,4714
492,492,0.15,W,0,4715
493,493,0.15,W,0,4716
494,494,0.15,W,0,4718
495,495,0.15,W,0,4720
496,496,0.15,W,0,4722
497,497,0.15,W,0,4723
498,498,0.15,W,0,4724
499,499,0.15,W,0,4726
500,500,0.15,W,0,4728
501,501,0.15,W,0,4730
502,502,0.15,W,0,4731
503,503,0.15,W,0,4731
504,504,0.15,W,0,4733
505,505,0.15,W,0,4736
506,506,0.15,W,0,4737
507,507,0.15,W,0,4739
508,508,0.15,W,0,4740
509,509,0.15,W,0,4742
510,510,0.15,W,0,4745
511,511,0.15,W,0,4747
512,512,0.15,W,0,4749
513,513,0.15,W,0,4751
514,514,0.15,W,0,4753
515,515,0.15,W,0,4755
516,516,0.15,W,0,4755
517,517,0.15,W,0,4757
518,518,0.15,W,0,4759
519,519,0.15,W,0,4761
520,520,0.15,W,0,4763
521,521,0.15,W,0,4763
522,522,0.15,W,0,4765
523,523,0.15,W,0,4767
524,524,0.15,W,0,4768
525,525,0.15,W,0,4770
526,526,0.15,W,0,4771
527,527,0.15,W,0,4773
528,528,0.15,W,0,4775
529,529,0.15,W,0,4777
530,530,0.15,W,0,4779
531,531,0.15,W,0,4780
532,532,0.15,W,0,4782
533,533,0.15,W,0,4783
534,534,0.15,W,0,4785
535,535,0.15,W,0,4787
536,536,0.15,W,0,4787
537,537,0.15,W,0,4788
538,538,0.15,W,0,4790
539,539,0.15,W,0,4790
540,540,0.15,W,0,4791
541,541,0.15,W,0,4792
542,542,0.15,W,0,4793
543,543,0.15,W,0,4795
544,544,0.15,W,0,4797
545,545,0.15,W,0,4799
546,546,0.15,W,0,4800
547,547,0.15,W,0,4801
548,548,0.15,W,0,4803
549,549,0.15,W,0,4805
550,550,0.15,W,0,4808
551,551,0.15,W,0,4809
552,552,0.15,W,0,4811
553,553,0.15,W,0,4813
554,554,0.15,W,0,4815
555,555,0.15,W,0,4817
556,556,0.15,W,0,4818
557,557,0.15,W,0,4820
558,558,0.15,W,0,4823
559,559,0.15,W,0,4825
560,560,0.15,W,0,4826
561,561,0.15,W,0,4828
562,562,0.15,W,0,4829
563,563,0.15,W,0,4830
564,564,0.15,W,0,4831
565,565,0.15,W,0,4833
566,566,0.15,W,0,4835
567,567,0.15,W,0,4836
568,568,0.15,W,0,4837
569,569,0.15,W,0,4839
570,570,0.15,W,0,4842
571,571,0.15,W,0,4845
572,572,0.15,W,0,4845
573,573,0.15,W,0,4847
574,574,0.15,W,0,4849
575,575,0.15,W,0,4850
576,576,0.15,W,0,4852
577,577,0.15,W,0,4853
578,578,0.15,W,0,4854
579,579,0.15,W,0,4856
580,580,0.15,W,0,4857
581,581,0.15,W,0,4859
582,582,0.15,W,0,4861
583,583,0.15,W,0,4861
584,584,0.15,W,0,4863
585,585,0.15,W,0,4865
586,586,0.15,W,0,4867
587,587,0.15,W,0,4869
588,588,0.15,W,0,4870
589,589,0.15,W,0,4871
590,590,0.15,W,0,4874
591,591,0.15,W,0,4876
592,592,0.15,W,0,4878
593,593,0.15,W,0,4879
594,594,0.15,W,0,4882
595,595,0.15,W,0,4884
596,596,0.15,W,0,4885
597,597,0.15,W,0,4887
598,598,0.15,W,0,4889
599,599,0.15,W,0,4891
600,600,0.15,W,0,4892
601,601,0.15,W,0,4893
602,602,0.15,W,0,4895
603,603,0.15,W,0,4898
604,604,0.15,W,0,4900
605,605,0.15,W,0,4900
606,606,0.15,W,0,4902
607,607,0.15,W,0,4904
608,608,0.15,W,0,4904
609,609,0.15,W,0,4906
610,610,0.15,W,0,4908
611,611,0.15,W,0,4910
612,612,0.15,W,0,4912
613,613,0.15,W,0,4913
614,614,0.15,W,0,4915
615,615,0.15,W,0,4918
616,616,0.15,W,0,4920
617,617,0.15,W,0,4920
618,618,0.15,W,0,4922
619,619,0.15,W,0,4925
620,620,0.15,W,0,4927
621,621,0.15,W,0,4928
622,622,0.15,W,0,4930
623,623,0.15,W,0,4932
624,624,0.15,W,0,4934
625,625,0.15,W,0,4936
626,626,0.15,W,0,4937
627,627,0.15,W,0,4939
628,628,0.15,W,0,4942
629,629,0.15,W,0,4944
630,630,0.15,W,0,4945
631,631,0.15,W,0,4947
632,632,0.15,W,0,4949
633,633,0.15,W,0,4951
634,634,0.15,W,0,4952
635,635,0.15,W,0,4954
636,636,0.15,W,0,4956
637,637,0.15,W,0,4958
638,638,0.15,W,0,4960
639,639,0.15,W,0,4961
640,640,0.15,W,0,4962
641,641,0.15,W,0,4964
642,642,0.15,W,0,4964
643,643,0.15,W,0,4965
644,644,0.15,W,0,4969
645,645,0.15,W,0,4972
646,646,0.15,W,0,4976
647,647,0.15,W,0,4979
648,648,0.15,W,0,4982
649,649,0.15,W,0,4984
650,650,0.15,W,0,4985
651,651,0.15,W,0,4987
652,652,0.15,W,0,4987
653,653,0.15,W,0,4988
654,654,0.15,W,0,4990
655,655,0.15,W,0,4993
656,656,0.15,W,0,4995
657,657,0.15,W,0,4996
658,658,0.15,W,0,4997
659,659,0.15,W,0,4998
660,660,0.15,W,0,5000
661,661,0.15,W,0,5002
662,662,0.15,W,0,5003
663,663,0.15,W,0,5004
664,664,0.15,W,0,5006
665,665,0.15,W,0,5009
666,666,0.15,W,0,5011
667,667,0.15,W,0,5011
668,668,0.15,W,0,5013
669,669,0.15,W,0,5016
670,670,0.15,W,0,5018
671,671,0.15,W,0,5019
672,672,0.15,W,0,5021
673,673,0.15,W,0,5023
674,674,0.15,W,0,5026
675,675,0.15,W,0,5028
676,676,0.15,W,0,5029
677,677,0.15,W,0,5031
678,678,0.15,W,0,5033
679,679,0.15,W,0,5035
680,680,0.15,W,0,5037
681,681,0.15,W,0,5037
682,682,0.15,W,0,5039
683,683,0.15,W,0,5041
684,684,0.15,W,0,5041
685,685,0.15,W,0,5043
686,686,0.15,W,0,5047
687,687,0.15,W,0,5049
688,688,0.15,W,0,5049
689,689,0.15,W,0,5051
690,690,0.15,W,0,5053
691,691,0.15,W,0,5055
692,692,0.15,W,0,5057
693,693,0.15,W,0,5058
694,694,0.15,W,0,5061
695,695,0.15,W,0,5063
696,696,0.15,W,0,5065
697,697,0.15,W,0,5066
698,698,0.15,W,0,5067
699,699,0.15,W,0,5070
700,700,0.15,W,0,5072
701,701,0.15,W,0,5074
702,702,0.15,W,0,5075
703,703,0.15,W,0,5076
704,704,0.15,W,0,5078
705,705,0.15,W,0,5080
706,706,0.15,W,0,5082
707,707,0.15,W,0,5083
708,708,0.15,W,0,5085
709,709,0.15,W,0,5089
710,710,0.15,W,0,5091
711,711,0.15,W,0,5091
712,712,0.15,W,0,5093
713,713,0.15,W,0,5096
714,714,0.15,W,0,4377
715,715,0.15,W,0,4271
716,716,0.15,W,0,4272
717,717,0.15,W,0,4273
718,718,0.15,W,0,4275
719,719,0.15,W,0,4278
720,720,0.15,W,0,4280
721,721,0.15,W,0,4280
722,722,0.15,W,0,4282
723,723,0.15,W,0,4286
724,724,0.15,W,0,4288
725,725,0.15,W,0,4290
726,726,0.15,W,0,4293
727,727,0.15,W,0,4295
728,728,0.15,W,0,4298
729,729,0.15,W,0,4300
730,730,0.15,W,0,4302
731,731,0.15,W,0,4304
732,732,0.15,W,0,4305
733,733,0.15,W,0,4306
734,734,0.15,W,0,4309
735,735,0.15,W,0,4312
736,736,0.15,W,0,4313
737,737,0.15,W,0,4315
738,738,0.15,W,0,4317
739,739,0.15,W,0,4319
740,740,0.15,W,0,4322
741,741,0.15,W,0,4324
742,742,0.15,W,0,4327
743,743,0.15,W,0,4329
744,744,0.15,W,0,4329
745,745,0.15,W,0,4331
746,746,0.15,W,0,4334
747,747,0.15,W,0,4337
748,748,0.15,W,0,4338
749,749,0.15,W,0,4340
750,750,0.15,W,0,4342
751,751,0.15,W,0,4342
752,752,0.15,W,0,4344
753,753,0.15,W,0,4346
754,754,0.15,W,0,4348
755,755,0.15,W,0,4350
756,756,0.15,W,0,4352
757,757,0.15,W,0,4353
758,758,0.15,W,0,4356
759,759,0.15,W,0,4358
760,760,0.15,W,0,4359
761,761,0.15,W,0,4360
762,762,0.15,W,0,4362
763,763,0.15,W,0,4363
764,764,0.15,W,0,4365
765,765,0.15,W,0,4367
766,766,0.15,W,0,4368
767,767,0.15,W,0,4371
768,768,0.15,W,0,4373
769,769,0.15,W,0,4375
770,770,0.15,W,0,4375
771,771,0.15,W,0,3891
772,772,0.15,W,0,3892
773,773,0.15,W,0,3893
774,774,0.15,W,0,3893
775,775,0.15,W,0,3895
776,776,0.15,W,0,3897
777,777,0.15,W,0,3899
778,778,0.15,W,0,3901
779,779,0.15,W,0,3901
780,780,0.15,W,0,3903
781,781,0.15,W,0,3905
782,782,0.15,W,0,3907
783,783,0.15,W,0,3909
784,784,0.15,W,0,3911
785,785,0.15,W,0,3913
786,786,0.15,W,0,3913
787,787,0.15,W,0,3915
788,788,0.15,W,0,3917
789,789,0.15,W,0,3917
790,790,0.15,W,0,3918
791,791,0.15,W,0,3920
792,792,0.15,W,0,3921
793,793,0.15,W,0,3921
794,794,0.15,W,0,3923
795,795,0.15,W,0,3925
796,796,0.15,W,0,3926
797,797,0.15,W,0,3928
798,798,0.15,W,0,3929
799,799,0.15,W,0,3930
800,800,0.15,W,0,3932
801,801,0.15,W,0,3933
802,802,0.15,W,0,3935
803,803,0.15,W,0,3937
804,804,0.15,W,0,3940
805,805,0.15,W,0,3943
806,806,0.15,W,0,3945
807,807,0.15,W,0,3946
808,808,0.15,W,0,3947
809,809,0.15,W,0,3949
810,810,0.15,W,0,3950
811,811,0.15,W,0,3950
812,812,0.15,W,0,3952
813,813,0.15,W,0,3953
814,814,0.15,W,0,3954
815,815,0.15,W,0,3956
816,816,0.15,W,0,3958
817,817,0.15,W,0,3958
818,818,0.15,W,0,3959
819,819,0.15,W,0,3961
820,820,0.15,W,0,3962
821,821,0.15,W,0,3964
822,822,0.15,W,0,3966
823,823,0.15,W,0,3966
824,824,0.15,W,0,3968
825,825,0.15,W,0,3971
826,826,0.15,W,0,3973
827,827,0.15,W,0,3974
828,828,0.15,W,0,3977
829,829,0.15,W,0,3979
830,830,0.15,W,0,3981
831,831,0.15,W,0,3983
832,832,0.15,W,0,3983
833,833,0.15,W,0,3985
834,834,0.15,W,0,3987
835,835,0.15,W,0,3989
836,836,0.15,W,0,3990
837,837,0.15,W,0,3991
838,838,0.15,W,0,3992
839,839,0.15,W,0,3994
840,840,0.15,W,0,3996
841,841,0.15,W,0,3998
842,842,0.15,W,0,3999
843,843,0.15,W,0,4001
844,844,0.15,W,0,4003
845,845,0.15,W,0,4005
846,846,0.15,W,0,4007
847,847,0.15,W,0,4008
848,848,0.15,W,0,4010
849,849,0.15,W,0,4012
850,850,0.15,W,0,4014
851,851,0.15,W,0,4014
852,852,0.15,W,0,4016
853,853,0.15,W,0,4019
854,854,0.15,W,0,4021
855,855,0.15,W,0,4022
856,856,0.15,W,0,4023
857,857,0.15,W,0,4025
858,858,0.15,W,0,4026
859,859,0.15,W,0,4027
860,860,0.15,W,0,4028
861,861,0.15,W,0,4031
862,862,0.15,W,0,4032
863,863,0.15,W,0,4034
864,864,0.15,W,0,4035
865,865,0.15,W,0,4037
866,866,0.15,W,0,4039
867,867,0.15,W,0,4042
868,868,0.15,W,0,4044
869,869,0.15,W,0,4046
870,870,0.15,W,0,4048
871,871,0.15,W,0,4050
872,872,0.15,W,0,4051
873,873,0.15,W,0,4052
874,874,0.15,W,0,4054
875,875,0.15,W,0,4055
876,876,0.15,W,0,4057
877,877,0.15,W,0,4059
878,878,0.15,W,0,4059
879,879,0.15,W,0,4061
880,880,0.15,W,0,4062
881,881,0.15,W,0,4063
882,882,0.15,W,0,4065
883,883,0.15,W,0,4068
884,884,0.15,W,0,4068
885,885,0.15,W,0,4069
886,886,0.15,W,0,4071
887,887,0.15,W,0,4072
888,888,0.15,W,0,4074
889,889,0.15,W,0,4076
890,890,0.15,W,0,4076
891,891,0.15,W,0,4077
892,892,0.15,W,0,4079
893,893,0.15,W,0,4081
894,894,0.15,W,0,4082
895,895,0.15,W,0,4084
896,896,0.15,W,0,4084
897,897,0.15,W,0,4086
898,898,0.15,W,0,4088
899,899,0.15,W,0,4088
900,900,0.15,W,0,4089
901,901,0.15,W,0,4091
902,902,0.15,W,0,4092
903,903,0.15,W,0,4094
904,904,0.15,W,0,4096
905,905,0.15,W,0,4096
906,906,0.15,W,0,4097
907,907,0.15,W,0,4099
908,908,0.15,W,0,4100
909,909,0.15,W,0,4103
910,910,0.15,W,0,4105
911,911,0.15,W,0,4105
912,912,0.15,W,0,4106
913,913,0.15,W,0,4108
914,914,0.15,W,0,4109
915,915,0.15,W,0,4111
916,916,0.15,W,0,4112
917,917,0.15,W,0,4113
918,918,0.15,W,0,4115
919,919,0.15,W,0,4116
920,920,0.15,W,0,4118
921,921,0.15,W,0,4120
922,922,0.15,W,0,4120
923,923,0.15,W,0,4121
924,924,0.15,W,0,4123
925,925,0.15,W,0,4124
926,926,0.15,W,0,4126
927,927,0.15,W,0,4127
928,928,0.15,W,0,4128
