ID,LID,LinkID
1112,7949,1088
1113,7950,1084
1114,7951,1081
1115,7952,1079
1116,7953,1077
1117,7954,1075
1118,7955,1073
1119,7956,1071
1120,7957,1069
1121,7958,1067
1122,7959,1065
1123,7960,1063
1124,7961,1061
1125,7962,1059
1126,7963,1057
1127,7964,1055
1128,7965,1053
1129,7966,1051
1130,7967,1049
1131,7968,1047
1132,7969,1045
1133,7970,1043
1134,7971,1041
1135,7972,1039
1136,7973,1037
1137,7974,1035
1138,7975,1033
1139,7976,1031
1140,7977,1029
1141,7978,1028
1142,7979,1025
1143,7980,1023
1144,7981,1021
1145,7982,1018
1146,7983,1017
1147,7984,1015
1148,7985,1010
1149,7986,1006
1150,7987,1004
1151,7988,1002
1152,7989,1000
1153,7990,998
1154,7991,996
1155,7992,994
1156,7993,991
1157,7994,989
1158,7995,987
1159,7996,985
1160,7997,983
1161,7998,981
1162,7999,979
1163,8000,977
1164,8001,975
1165,8002,973
1166,8003,971
1167,8004,969
1168,8005,968
1169,8006,965
1170,8007,961
1171,8008,959
1172,8009,957
1173,8010,955
1174,8011,953
1175,8012,951
1176,8013,949
1177,8014,946
1178,8015,943
1179,8016,941
1180,8017,939
1181,8018,937
1182,8019,935
1183,8020,934
1184,8021,932
1185,8022,930
1186,8023,928
1187,8024,926
1188,8025,923
1189,8026,922
1190,8027,920
1191,8028,918
1192,8029,915
1193,8030,914
1194,8031,912
1195,8032,910
1196,8033,907
1197,8034,904
1198,8035,902
1199,8036,900
1200,8037,898
1201,8038,896
1202,8039,894
1203,8040,892
1204,8041,890
1205,8042,888
1206,8043,876
1207,8044,863
1208,8045,861
1209,8046,859
1210,8047,857
1211,8048,855
1212,8049,853
1213,8050,846
1214,8051,839
1215,8052,837
1216,8053,835
1217,8054,833
1218,8055,831
1219,8056,829
1220,8057,827
1221,8058,825
1222,8059,822
1223,8060,820
1224,8061,819
1225,8062,817
1226,8063,814
1227,8064,813
1228,8065,811
1229,8066,809
1230,8067,807
1231,8068,805
1232,8069,803
1233,8070,801
1234,8071,799
1235,8072,797
1236,8073,795
1237,8074,793
1238,8075,791
1239,8076,789
1240,8077,787
1241,8078,785
1242,8079,783
1243,8080,781
1244,8081,779
1245,8082,777
1246,8083,775
1247,8084,773
1248,8085,770
1249,8086,766
1250,8087,763
1251,8088,761
1252,8089,755
1253,8090,748
1254,8091,745
1255,8092,744
1256,8093,742
1257,8094,740
1258,8095,740
1259,8096,739
1260,8097,739
1261,8098,739
1262,8099,738
1263,8100,738
1264,8101,738
1265,8102,738
1266,8103,729
1267,8104,729
1268,8105,729
1269,8106,729
1270,8107,728
1271,8108,728
1272,8109,727
1273,8110,726
1274,8111,724
1275,8112,722
1276,8113,719
1277,8114,717
1278,8115,715
1279,8116,713
1280,8117,711
1281,8118,709
1282,8119,707
1283,8120,705
1284,8121,703
1285,8122,701
1286,8123,699
1287,8124,697
1288,8125,695
1289,8126,693
1290,8127,691
1291,8128,689
1292,8129,687
1293,8130,685
1294,8131,683
1295,8132,681
1296,8133,679
1297,8134,677
1298,8135,675
1299,8136,672
1300,8137,670
1301,8138,668
1302,8139,666
1303,8140,664
1304,8141,662
1305,8142,661
1306,8143,659
1307,8144,656
1308,8145,654
1309,8146,649
1310,8147,631
1311,8148,615
1312,8149,613
1313,8150,611
1314,8151,609
1315,8152,607
1316,8153,605
1317,8154,603
1318,8155,601
1319,8156,599
1320,8157,597
1321,8158,595
1322,8159,593
1323,8160,590
1324,8161,587
1325,8162,585
1326,8163,583
1327,8164,581
1328,8165,579
1329,8166,577
1330,8167,575
1331,8168,573
1332,8169,570
1333,8170,568
1334,8171,566
1335,8172,565
1336,8173,563
1337,8174,561
1338,8175,558
1339,8176,557
1340,8177,554
1341,8178,552
1342,8179,550
1343,8180,548
1344,8181,546
1345,8182,544
1346,8183,542
1347,8184,540
1348,8185,538
1349,8186,536
1350,8187,534
1351,8188,532
1352,8189,530
1353,8190,529
1354,8191,528
1355,8192,527
1356,8193,508
1357,8194,508
1358,8195,508
1359,8196,507
1360,8197,507
1361,8198,506
1362,8199,506
1363,8200,505
1364,8201,504
1365,8202,503
1366,8203,501
1367,8204,499
1368,8205,497
1369,8206,495
1370,8207,493
1371,8208,491
1372,8209,489
1373,8210,487
1374,8211,485
1375,8212,483
1376,8213,481
1377,8214,479
1378,8215,477
1379,8216,475
1380,8217,473
1381,8218,471
1382,8219,469
1383,8220,467
1384,8221,466
1385,8222,464
1386,8223,461
1387,8224,459
1388,8225,457
1389,8226,455
1390,8227,453
1391,8228,451
1392,8229,449
1393,8230,447
1394,8231,445
1395,8232,443
1396,8233,441
1397,8234,439
1398,8235,438
1399,8236,436
1400,8237,434
1401,8238,432
1402,8239,430
1403,8240,428
1404,8241,426
1405,8242,424
1406,8243,422
1407,8244,420
1408,8245,418
1409,8246,416
1410,8247,414
1411,8248,412
1412,8249,410
1413,8250,408
1414,8251,406
1415,8252,404
1416,8253,402
1417,8254,400
1418,8255,398
1419,8256,396
1420,8257,394
1421,8258,392
1422,8259,390
1423,8260,388
1424,8261,386
1425,8262,384
1426,8263,382
1427,8264,380
1428,8265,378
1429,8266,376
1430,8267,374
1431,8268,372
1432,8269,370
1433,8270,368
1434,8271,366
1435,8272,364
1436,8273,363
1437,8274,360
1438,8275,358
1439,8276,354
1440,8277,352
1441,8278,350
1442,8279,348
1443,8280,346
1444,8281,344
1445,8282,342
1446,8283,340
1447,8284,339
1448,8285,337
1449,8286,335
1450,8287,333
1451,8288,331
1452,8289,329
1453,8290,327
1454,8291,325
1455,8292,323
1456,8293,321
1457,8294,319
1458,8295,316
1459,8296,314
1460,8297,311
1461,8298,309
1462,8299,307
1463,8300,305
1464,8301,303
1465,8302,301
1466,8303,299
1467,8304,297
1468,8305,295
1469,8306,293
1470,8307,291
1471,8308,289
1472,8309,287
1473,8310,285
1474,8311,283
1475,8312,281
1476,8313,279
1477,8314,278
1478,8315,277
1479,8316,277
1480,8317,276
1481,8318,275
1482,8319,274
1483,8320,273
1484,8321,273
1485,8322,272
1486,8323,272
1487,8324,271
1488,14625,5643
1489,14626,5641
1490,14627,5640
